"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WEE1",1109.30714548063,0.469429873618097,0.12797791297501,3.66805382823958,0.000244403737165145,0.0578771459557654
"LXN",213.107466353805,0.681236350761242,0.185818375631082,3.66614092092671,0.000246238267471573,0.0578771459557654
"PRDX5",2391.63573249701,0.688153095285438,0.187934421879422,3.6616660662992,0.000250580348586987,0.0578771459557654
"CCL18",24.7022207119002,-1.99710005340056,0.54554696901591,-3.66072981214257,0.000251497861064036,0.0578771459557654
"SLC26A4",4544.78956120745,-1.77094765930631,0.483946345762021,-3.65938843182663,0.000252817882053753,0.0578771459557654
"PDCD1LG2",84.5435018612343,-1.38816498089191,0.379632319809463,-3.65660379387251,0.000255578951298189,0.0578771459557654
"IL22RA2",11.6754100027759,-1.50546974588498,0.411783319870625,-3.65597554159787,0.000256205783484623,0.0578771459557654
"CLCA1",11.8909526864491,-2.30002697876805,0.62975262664293,-3.65227056063106,0.000259931806602641,0.0578771459557654
"UBXN11",796.345107235475,0.812807446058046,0.222579417788922,3.65176373508557,0.00026044544334408,0.0578771459557654
"CCDC194",51.7683236625946,-1.54934937078116,0.424801898066723,-3.64722798516734,0.000265084703488142,0.0581430591845614
"SYT2",40.8713885026549,-0.573046071853789,0.157620187426963,-3.635613440184,0.000277319922803758,0.060046874054265
"CTSG",4.93992789498974,-3.03418120217086,0.838014993669811,-3.62067650947826,0.000293833711917946,0.0617162353676996
"SLC9B2",75.6740912491652,-1.14685977381306,0.316951146518795,-3.6184118164881,0.000296416464553081,0.0617162353676996
"MCOLN2",80.3143241424218,-0.702711236465586,0.194300713918974,-3.61661685277505,0.000298478606812943,0.0617162353676996
"NRROS",58.0143373303725,-0.933522142259089,0.258260777282961,-3.61464931717557,0.000300754440329037,0.0617162353676996
"OASL",1759.46206622828,-1.66626366551568,0.461254009935546,-3.6124643463772,0.000303300819202977,0.0617162353676996
"RRAGB",150.641409532649,0.321904706863434,0.0898535403618442,3.58254895207367,0.000340257828734174,0.0672147992463917
"ITIH5",26.6409798662521,1.39024456302797,0.388142167509841,3.58179213546211,0.000341245265315852,0.0672147992463917
"CLDN3",925.741331085543,0.918243692077083,0.256419983025582,3.58101455761142,0.000342262581277144,0.0672147992463917
"CD44",6558.69334961903,-0.867641452334028,0.243971688253715,-3.55632023758321,0.000376085608246153,0.0727812672188869
"P2RY10",61.2272534680723,-0.897880662073769,0.252629954295604,-3.55413381036816,0.000379226213231218,0.0727812672188869
"ARL15",295.599259840023,-0.358025938130385,0.101430693607136,-3.52975934007805,0.000415937829286822,0.0783765991729665
"IFIT1",3586.64901835466,-1.70874522164243,0.484616823941671,-3.52597173111782,0.000421932003830675,0.0783765991729665
"HOXA3",3.68449219078375,-2.19400778202097,0.622283071727942,-3.52573913979164,0.00042230271328912,0.0783765991729665
"TUBB4B",10498.1412559236,0.913427517675833,0.260035116275615,3.51270832477748,0.000443564120750755,0.0811721458266133
"SKAP2",398.136649935936,-1.73039543540399,0.492895982243594,-3.51067060341509,0.000446977888677544,0.0811721458266133
"IFT74",253.572592729974,0.77576886467223,0.221524868501458,3.50194932930125,0.000461867448295871,0.0829838227049891
"SLC27A3",339.51085574334,-0.480736360128158,0.137479860688835,-3.49677660218344,0.000470916010920515,0.083718952720385
"ENTPD4",1611.62428912624,-0.269274881144137,0.0770995050796739,-3.49256303092829,0.000478408673544521,0.0841650425780563
"DMRTC2",5.4741001520858,-2.58015535790605,0.74201688032799,-3.47721922008777,0.000506643391620959,0.0881269692333288
"PCDHA12",8.32244119709075,1.06273844942012,0.306084383148741,3.47204401115651,0.000516511651784235,0.0881269692333288
"ZNF157",49.1923110546485,1.3534175373188,0.389988193478275,3.47040643781488,0.000519671355801214,0.0881269692333288
"TRAF5",119.629774004392,-0.45835827318786,0.132118070990591,-3.46930794365371,0.000521800990190827,0.0881269692333288
"P2RY13",456.065262182646,-1.84309624523114,0.531909331652319,-3.46505717338284,0.00053011876679224,0.0886453054688528
"RGS18",197.890597840837,-1.86432890834208,0.539576059553875,-3.45517351137396,0.000549938787762686,0.0906190238109074
"MMP12",181.754223526586,-1.39160291734701,0.402914020516945,-3.45384584920018,0.000552653173812746,0.0906190238109074
"NAIF1",191.689533634372,-0.282363488232247,0.0818868979861786,-3.44821326947696,0.000564308268370227,0.0916404071586997
"HEPH",52.2581657257959,-0.942307247659859,0.274068235064238,-3.43822131535599,0.000585548914260267,0.0931005657707941
"PHGDH",235.44038053018,0.971380552606511,0.282792652270026,3.43495683077007,0.000592648229879738,0.0931005657707941
"GGT5",33.5040146511702,-1.85361104922918,0.540204014574999,-3.43131668632174,0.000600658938664543,0.0931005657707941
"MAPKAPK3",957.74254773405,-0.492924095531238,0.143655926119658,-3.43128271033286,0.000600734180634213,0.0931005657707941
"DENND2D",817.535300775569,-0.407605440379002,0.118823103741017,-3.43035510389803,0.00060279181588977,0.0931005657707941
"PIP4K2A",740.490114855282,-0.346444891305134,0.101041255133466,-3.42874690983907,0.000606374695647306,0.0931005657707941
"ANO1",603.451944319809,-1.21770484233022,0.356617126657831,-3.41460000461109,0.000638757400534867,0.0967175609828012
"CCN2",2372.77727596298,1.23803767075301,0.362721021492556,3.4131952586002,0.000642059217109306,0.0967175609828012
"DOK2",147.640969360306,-0.748298619775385,0.219374328522325,-3.41105828022732,0.000647112581624521,0.0967175609828012
"WDR93",104.338597086258,1.15373959691933,0.339073033913005,3.40262858300712,0.000667409419432485,0.0986040215532849
"TNNC2",10.6003473881353,1.17008004493652,0.344040530540808,3.40099476970702,0.000671411124319247,0.0986040215532849
"GZMB",123.466278283495,-0.93527492722191,0.275545122130208,-3.39427139915018,0.00068811462129232,0.0989326608141475
"SQLE",843.646441635421,0.837886616378273,0.246981831121675,3.39250305406266,0.000692571599444109,0.0989326608141475
"CAPS2",288.98162833936,0.909771183187936,0.268471414618673,3.38870782381112,0.000702227920047735,0.0989326608141475
"TASL",118.500707598312,-1.63038664982454,0.481571833104895,-3.3855523470149,0.000710351596136426,0.0989326608141475
"LRRC61",333.85622980445,0.909457615508322,0.268682570596094,3.3848776029298,0.000712099997944585,0.0989326608141475
"CYP51A1",172.67233486153,0.490565327812251,0.144957278757727,3.3842062434971,0.000713843597156629,0.0989326608141475
"CRYBA1",14.3902405436551,-1.64775151606906,0.487089226278818,-3.3828535454526,0.000717368766934404,0.0989326608141475
"BAIAP3",1647.20698074368,1.27048539558906,0.375882761693596,3.38000441910319,0.000724846643556029,0.0989326608141475
"SCNN1B",1256.35775550768,0.615618817658972,0.182166591941723,3.37942764969724,0.000726369230916827,0.0989326608141475
"EMP3",175.216822437434,-1.18522597113503,0.351111620330954,-3.37563869295426,0.000736445627387721,0.0995026416076098
"ANKRD55",6.351155806979,-1.12296808433204,0.33293896832977,-3.37289470789662,0.000743823907513648,0.0997019204285555
"SYNE3",186.380248074347,-0.831735095182979,0.247030004101195,-3.36693956756063,0.00076007342540937,0.10039686398027
"CYSLTR1",177.569421485602,-1.30063718417592,0.386330855714673,-3.36664070429963,0.000760897542156112,0.10039686398027
"FBXO39",61.8072638216719,-1.4305702317689,0.425786180673126,-3.35983246216989,0.0007798975167055,0.101801630736751
"FCRL3",15.4636427707724,-1.00649326038839,0.299718344954976,-3.35813031577893,0.000784716086782539,0.101801630736751
"EOLA2",290.079546097325,-0.41038272322063,0.122272763736524,-3.35628892878329,0.000789959938259691,0.101801630736751
"FAP",13.7394367396487,-1.94986872553123,0.581303876591021,-3.35430194783144,0.00079565487934461,0.101801630736751
"PAX5",30.7241474917115,-1.38377540236269,0.413017832739393,-3.35040110298538,0.000806946187043804,0.102470031225435
"PNMA1",1433.86843906588,0.637454561797015,0.19056028887513,3.3451595060014,0.000822352623100665,0.103647115310053
"GPR183",159.094587920974,-0.991106589862214,0.296862394471458,-3.33860606233675,0.000841998795142062,0.105337167786328
"EGR2",192.947663357856,-1.57127717171044,0.471285155621953,-3.33402644442902,0.00085598519301186,0.105757378860228
"ITGA4",321.043507203426,-0.643801026568388,0.193207834785591,-3.33216832165649,0.000861721198237141,0.105757378860228
"CRLF1",62.0694100705444,1.16376344869295,0.349332998869441,3.33138710760014,0.000864143423690657,0.105757378860228
"GRK5",111.280373923162,-0.858040032283908,0.257805236275139,-3.32824904831714,0.000873937016680791,0.105898581430603
"FRYL",1895.78820135005,-0.310181560273901,0.0933290389337852,-3.32352678027648,0.000888868877904334,0.105898581430603
"PTGER3",26.1678411633311,1.08237835515591,0.325954795070172,3.32063946144094,0.000898114753906458,0.105898581430603
"BHLHE41",271.014704508044,0.926292474779806,0.278964536343937,3.3204667766005,0.000898670546744987,0.105898581430603
"DPYSL3",595.145846227013,-0.919908613118879,0.277104207098215,-3.31972084708491,0.000901075014406801,0.105898581430603
"SFXN5",233.129146320105,-0.411915448057453,0.124102687532771,-3.31915010260097,0.000902918806679311,0.105898581430603
"HHLA2",225.057533299541,1.63853417288626,0.494552253052288,3.3131669358971,0.000922459031498807,0.107444210917127
"MEI4",40.6044588789607,-1.21944384754757,0.368583697113046,-3.30845845081847,0.00093811103612389,0.108518885541756
"CFAP53",94.4350986838213,1.1871681087874,0.359208555232664,3.30495499478973,0.000949916521073927,0.109137007649099
"CRYZL1",206.425150574845,0.31735071782446,0.0961111071288428,3.30191511995624,0.000960271241497391,0.109515471082658
"LARP4B",3329.75410305254,-0.183220739737319,0.0555181692407787,-3.30019419305242,0.000966179477252416,0.109515471082658
"HOXA1",5.19706159665199,-1.78175029278196,0.540943425029825,-3.29378306554649,0.000988487557872155,0.109810328055235
"CCDC181",88.1772170553346,1.00210626527137,0.30441472872879,3.29191123391459,0.000995090145396431,0.109810328055235
"IRF7",2749.34289586633,-1.57798999424188,0.479400323626584,-3.29159142468793,0.000996222297042321,0.109810328055235
"LEKR1",102.652988662471,0.961832248488537,0.29240788244217,3.28935130084518,0.0010041860171253,0.109810328055235
"NSDHL",315.885702449364,0.42411757461342,0.128941831212712,3.28921631269346,0.00100466778237551,0.109810328055235
"CD300LB",116.199252017916,-1.94396201979557,0.591167772588259,-3.28834234532861,0.00100779210424308,0.109810328055235
"PPFIA3",174.289958286765,-0.487738729316095,0.148514276871042,-3.28412015054693,0.00102301298746306,0.110754271443998
"CIBAR1",106.517908742692,0.495608273002291,0.151032282124285,3.28147245099861,0.00103266611706561,0.110819012668209
"WDR13",1332.1138503752,0.35247650194782,0.107450440363756,3.28036349366804,0.00103673420578939,0.110819012668209
"DNAJC13",1277.22909802624,-0.273363592307321,0.0834888975183518,-3.2742508337379,0.00105942524248968,0.11193350341067
"FCGBP",162350.249580001,-1.04049586164106,0.317833246118208,-3.2737162469595,0.00106143139501956,0.11193350341067
"IQCD",301.991005115345,1.04986749194899,0.320842009066172,3.27222577556064,0.00106704328551826,0.11193350341067
"WRAP73",261.374137764242,-0.300684338456352,0.0920189376810793,-3.2676354023828,0.00108449976210467,0.111957842351953
"CPA3",109.491560464725,-2.07761321194558,0.636473967683509,-3.26425481234872,0.00109752410409903,0.111957842351953
"TSPAN32",43.9154094326521,-1.04054822289354,0.318823768433017,-3.26370969143146,0.00109963777528279,0.111957842351953
"SEPTIN6",351.523582633907,-0.594402763824677,0.182209427062129,-3.2621954495362,0.00110552891820835,0.111957842351953
"DNASE1L3",73.0288560545947,-1.04601378118593,0.320994104772989,-3.25866975633613,0.0011193588554051,0.111957842351953
"DMD",930.517344358574,0.87809332189757,0.269529869817393,3.25787016664417,0.00112251750958236,0.111957842351953
"RSPH9",302.228466473765,1.08541389429514,0.333327437420765,3.25629927945296,0.00112874706530347,0.111957842351953
"APOF",6.14197273504169,-1.87205861458416,0.57519573866328,-3.25464618172365,0.00113533713950979,0.111957842351953
"PSD4",2866.34153205376,-0.505053103272617,0.15524656487123,-3.25323206791426,0.00114100271152534,0.111957842351953
"TRPV2",152.884387812768,-0.952931477190214,0.293111060338937,-3.25109354825539,0.00114962023830943,0.111957842351953
"ADGRE3",200.294058716695,-1.93020062239874,0.593826654889684,-3.25044456409137,0.00115224730370172,0.111957842351953
"MAGEL2",1.94539715411119,1.98421531919837,0.610504253651022,3.250125297788,0.00115354171783129,0.111957842351953
"CD1A",20.7485865352937,-1.51161959189392,0.465348370625153,-3.24836120058442,0.00116071822917424,0.111957842351953
"PIK3R6",66.1405533346009,-0.984564251663973,0.303148338397172,-3.24779695930261,0.00116302231014068,0.111957842351953
"GANC",357.54646032846,-0.392016897765162,0.120735902773076,-3.24689581774165,0.00116671089193817,0.111957842351953
"CCDC24",204.308800867425,0.495403231114776,0.152707815888086,3.24412492074302,0.00117812065378942,0.112414009727964
"IFT46",551.702012632775,0.85369793876707,0.263787806076106,3.23630554219313,0.00121087697098177,0.113097465119358
"CEP72",252.821143688429,-0.802956490674355,0.248151633989542,-3.2357493592333,0.00121323864156563,0.113097465119358
"NGEF",71.8246013210385,0.765460074476504,0.236666535981407,3.23434012883275,0.00121924159268656,0.113097465119358
"CBFA2T3",118.406295299631,-1.18380871016313,0.366037138109869,-3.23412186062881,0.0012201738076927,0.113097465119358
"ADAMTS9",104.410429358277,-1.15080954244696,0.355874117935381,-3.23375453411289,0.00122174413128835,0.113097465119358
"MNDA",1873.60388156824,-1.90852108788101,0.590466566890495,-3.23222548895805,0.00122830088814152,0.113097465119358
"CCND2",413.803594949635,-0.741347025059456,0.229424784371835,-3.23132928767598,0.00123215901367528,0.113097465119358
"IDO2",12.6013088181382,-0.959440639568049,0.297756471020269,-3.22223270675027,0.00127195783097617,0.115274196508804
"CLEC7A",2483.97902300191,-1.35374497094402,0.420171186888034,-3.22188910898539,0.00127348412429962,0.115274196508804
"HNRNPDL",1675.20381456233,0.280468392284303,0.0870761210021633,3.22095643508666,0.00127763567642258,0.115274196508804
"DYNLT2B",28.7604417975133,1.03262128473384,0.321025794913813,3.21663025555648,0.00129705640061022,0.115274196508804
"MUS81",303.110273581232,-0.381825510843984,0.118709971455334,-3.21645693418139,0.00129784010752702,0.115274196508804
"CTH",73.3652556111659,0.537980133326575,0.167302708904512,3.21560922025253,0.00130167951396444,0.115274196508804
"RNFT2",427.237318229357,1.05368763087354,0.327810957104105,3.21431486055823,0.00130756206340194,0.115274196508804
"ANKFN1",254.09596548487,1.44416183756704,0.449380110393417,3.21367547019989,0.00131047698085679,0.115274196508804
"NEK5",363.221450485113,1.04934456549325,0.326875668020301,3.21022537972474,0.00132630934543886,0.116062375829621
"GNGT2",16.442302234089,-0.847104643375745,0.264073299073936,-3.20783905963385,0.00133736315038195,0.116426423952581
"TTLL10",369.201958790717,1.08938883784691,0.340086277834662,3.20327196023043,0.00135875601042799,0.11659616312244
"BSND",32.3885371523225,1.19370980121284,0.372692476492588,3.2029350644447,0.00136034650700037,0.11659616312244
"CRNKL1",549.69224248147,-0.264394110400271,0.0825609217229014,-3.20241229001361,0.00136281794331191,0.11659616312244
"CA2",161.273645500869,-1.1227961857842,0.350783318517831,-3.20082548545455,0.00137034501009478,0.11659616312244
"POLD4",186.334881262815,-0.518690714870018,0.162086124773436,-3.20009325656372,0.00137383127842771,0.11659616312244
"H3-4",3.75111544608908,-1.41793048405022,0.444234527310402,-3.19185114366282,0.00141364165460514,0.118733177805374
"WDFY4",552.531298671484,-0.985926494268442,0.308970183303211,-3.19100854240325,0.00141777088292482,0.118733177805374
"IKZF1",908.630825198263,-0.962492994747887,0.301671455214254,-3.19053386759547,0.00142010195492247,0.118733177805374
"TNFRSF9",73.5029574732349,-1.09967694307192,0.34496059415838,-3.187833514013,0.00143343043529036,0.119020317289303
"NKG7",166.97150050852,-0.737092523416616,0.231281911579909,-3.18698733671589,0.00143763069021362,0.119020317289303
"RET",28.0321425860316,0.930481489893682,0.292643147612967,3.17957723419611,0.0014749005906597,0.121510224759277
"NTRK2",153.942528597224,-1.44313286326881,0.454388622612048,-3.17598811117447,0.0014932707090019,0.121813898897327
"GAS8",140.027086367488,0.548100439569185,0.172630827377187,3.1749858811232,0.00149843791979011,0.121813898897327
"CD33",29.3522357659317,-0.757603121765241,0.23876982831101,-3.17294327815331,0.00150902003029904,0.121813898897327
"MLF1",459.191373293887,1.2436824997204,0.392023806672841,3.17246677000488,0.00151149855863659,0.121813898897327
"EPHX2",353.881291452511,0.582716436806173,0.18371431011917,3.17186198738782,0.00151464969912006,0.121813898897327
"NHERF4",8.83564466736468,1.02126907904195,0.32222559996439,3.16942253860281,0.00152742165853407,0.122258883369582
"GSTA3",53.5531506198995,1.5969863980948,0.504265184912023,3.16695747768789,0.00154042841264814,0.122718374817049
"NPC1L1",6.46877783834168,1.02713966332929,0.324717952783642,3.16317485536029,0.00156058568007598,0.123740523712691
"TRAFD1",1984.4961569858,-0.581607514119799,0.184092927867422,-3.15931481375893,0.00158140565832978,0.124069782366201
"FAXDC2",183.596864743582,0.515340933582589,0.163190246579762,3.15791503710184,0.00158901862724261,0.124069782366201
"RTP4",466.832831072492,-0.723181299694957,0.22901043196572,-3.15785308768471,0.0015893563300536,0.124069782366201
"FOXC1",1139.49224029324,0.548883566693932,0.17386349361608,3.15697996904376,0.00159412296604095,0.124069782366201
"SYTL5",816.114371058225,-0.460267739432031,0.145996270932621,-3.15259928552867,0.00161823779726167,0.125368890632809
"TNFSF13B",941.184528076985,-1.52740244481653,0.485084584748387,-3.14873424726287,0.00163979242480741,0.125895459529356
"TMEM81",17.1003430311471,-0.886950423001939,0.281794997700219,-3.14750236959671,0.00164671771260932,0.125895459529356
"LRP2BP",160.48989892813,0.928203686398305,0.294912970159568,3.14738170347707,0.00164739751056828,0.125895459529356
"AK9",314.253393156487,0.708312256319821,0.225173924304578,3.14562291574105,0.00165733536819271,0.126084401051381
"BLK",19.3820955308837,-0.929831878768864,0.29586989005883,-3.14270532423553,0.00167394265428494,0.126776760036854
"RUBCN",713.384936880911,-0.512837937390414,0.163604661385347,-3.13461690545906,0.00172078672842601,0.127429565261357
"TSEN54",474.897860205467,-0.295968842039079,0.0944618170087975,-3.13321140129577,0.00172904860512966,0.127429565261357
"CD274",894.352987994,-1.43822923025031,0.459211033932503,-3.13195703930256,0.00173645282156762,0.127429565261357
"ST6GAL1",9140.54991949869,-0.580377900286397,0.185338498501854,-3.13144816094747,0.00173946492049715,0.127429565261357
"OSCP1",556.385334440281,1.01606665759809,0.324835058233329,3.12794642032835,0.00176032267961628,0.127429565261357
"NEIL3",55.5964076871219,-1.341251052598,0.428805600738488,-3.12787671217004,0.00176074021358564,0.127429565261357
"ENAM",5.50750686156664,1.77243615664365,0.566717824165733,3.12754616330069,0.00176272135625059,0.127429565261357
"RAB3GAP2",1358.75932744733,-0.190583943955708,0.0609630732241623,-3.12621942884879,0.00177069376906152,0.127429565261357
"HLX",98.8488554333106,-1.84313189290616,0.589669433194257,-3.12570363859944,0.00177380211638832,0.127429565261357
"BTK",185.240635413414,-1.26824065980694,0.405811746886216,-3.12519455027639,0.00177687499335438,0.127429565261357
"CDC25C",52.4130015705093,-1.35487995741538,0.433550210729024,-3.1250819948562,0.00177755504248324,0.127429565261357
"ERCC1",742.974702827324,0.52276029872311,0.167307808378182,3.12454214654145,0.00178082008151314,0.127429565261357
"SHH",7.79839045385718,-1.76771282226693,0.565969333567672,-3.12333675594027,0.0017881302715764,0.127429565261357
"CCL26",18.3256542196386,-1.79002391301667,0.573114606446421,-3.12332628218229,0.00178819391124055,0.127429565261357
"ERI3",608.654777062866,0.413046566839237,0.132442537024159,3.11868510011926,0.00181659997394635,0.128664286805609
"HERC5",962.138040897969,-1.50140165432698,0.481581149293469,-3.11765038255691,0.00182298916577991,0.128664286805609
"VSTM2L",743.109434018842,0.917302333115938,0.294368410909958,3.11617109417534,0.0018321593703476,0.128664286805609
"FCGR2C",105.351490735062,-1.16853561253432,0.375339279312696,-3.11327824435026,0.00185021493977472,0.128664286805609
